,Price,Name,Ratings,Beds
120,115.0,Condo in Alexandria,4.2,2 beds
121,79.0,Home in Springfield,4.2,2 beds
122,81.0,Townhouse in Alexandria,4.9146,1 queen bed
123,121.0,Hotel room in Springfield,4.754,2 beds
124,86.0,Guest suite in Springfield,4.8425,1 bed
125,68.0,Private room in Annandale,4.9738,1 queen bed
126,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
127,60.0,Townhouse in Springfield,4.7572,1 queen bed
128,94.0,Guest suite in Springfield,4.973,1 bed
129,95.0,Home in Alexandria,4.2,1 bed
130,194.0,Apartment in Alexandria,4.9433,2 beds
131,90.0,Home in Alexandria,4.86195,1 bed
132,65.0,Private room in Springfield,4.9765,1 bed
133,78.0,Private room in Alexandria,4.8335,1 queen bed
134,85.0,Townhouse in West Springfield,4.836,1 queen bed
135,71.0,Home in Alexandria,4.03,2 beds
136,112.0,Apartment in Springfield,5.01,4 beds
137,110.0,Apartment in Lorton,4.7315,3 beds
138,159.0,Apartment in Alexandria,5.015,1 bed
139,91.0,Condo in Alexandria,5.04,2 beds
140,115.0,Condo in Alexandria,4.2,2 beds
141,79.0,Home in Springfield,4.2,2 beds
142,81.0,Townhouse in Alexandria,4.9146,1 queen bed
143,121.0,Hotel room in Springfield,4.754,2 beds
144,86.0,Guest suite in Springfield,4.8425,1 bed
145,68.0,Private room in Annandale,4.9738,1 queen bed
146,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
147,60.0,Townhouse in Springfield,4.7572,1 queen bed
148,94.0,Guest suite in Springfield,4.973,1 bed
149,95.0,Home in Alexandria,4.2,1 bed
150,194.0,Apartment in Alexandria,4.9433,2 beds
151,90.0,Home in Alexandria,4.86195,1 bed
152,65.0,Private room in Springfield,4.9765,1 bed
153,78.0,Private room in Alexandria,4.8335,1 queen bed
154,85.0,Townhouse in West Springfield,4.836,1 queen bed
155,71.0,Home in Alexandria,4.03,2 beds
156,112.0,Apartment in Springfield,5.01,4 beds
157,110.0,Apartment in Lorton,4.7315,3 beds
158,159.0,Apartment in Alexandria,5.015,1 bed
159,91.0,Condo in Alexandria,5.04,2 beds
160,115.0,Condo in Alexandria,4.2,2 beds
161,79.0,Home in Springfield,4.2,2 beds
162,81.0,Townhouse in Alexandria,4.9146,1 queen bed
163,121.0,Hotel room in Springfield,4.754,2 beds
164,86.0,Guest suite in Springfield,4.8425,1 bed
165,68.0,Private room in Annandale,4.9738,1 queen bed
166,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
167,60.0,Townhouse in Springfield,4.7572,1 queen bed
168,94.0,Guest suite in Springfield,4.973,1 bed
169,95.0,Home in Alexandria,4.2,1 bed
170,194.0,Apartment in Alexandria,4.9433,2 beds
171,90.0,Home in Alexandria,4.86195,1 bed
172,65.0,Private room in Springfield,4.9765,1 bed
173,78.0,Private room in Alexandria,4.8335,1 queen bed
174,85.0,Townhouse in West Springfield,4.836,1 queen bed
175,71.0,Home in Alexandria,4.03,2 beds
176,112.0,Apartment in Springfield,5.01,4 beds
