,id,address,beds,baths,area,price,zestimate,best_deal,hdpData
107,51913559,"6001 Hibbling Ave, Springfield, VA 22150",4,4.0,2902,"$779,000",789000,-10000,"{'homeInfo': {'zpid': 51913559, 'streetAddress': '6001 Hibbling Ave', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.784283, 'longitude': -77.18804, 'price': 779000.0, 'datePriceChanged': 1660028400000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2902.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 789000, 'rentZestimate': 3999, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,000 (Aug 9)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 779000.0, 'priceChange': -10000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 568740.0, 'lotAreaValue': 0.25149219467401285, 'lotAreaUnit': 'acres'}}"
355,51962943,"9244 Northedge Dr, Springfield, VA 22153",4,3.0,1873,"$789,900",799900,-10000,"{'homeInfo': {'zpid': 51962943, 'streetAddress': '9244 Northedge Dr', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.746346, 'longitude': -77.26468, 'price': 789900.0, 'datePriceChanged': 1660374000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1873.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 799900, 'rentZestimate': 2999, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$50,000 (Aug 13)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 789900.0, 'priceChange': -50000, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 591260.0, 'lotAreaValue': 0.29843893480257117, 'lotAreaUnit': 'acres'}}"
103,51911240,"7661 Long Pine Dr, Springfield, VA 22151",4,3.0,2340,"$650,000",659500,-9500,"{'homeInfo': {'zpid': 51911240, 'streetAddress': '7661 Long Pine Dr', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.798016, 'longitude': -77.20735, 'price': 650000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2340.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 659500, 'rentZestimate': 2995, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 650000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 495350.0, 'lotAreaValue': 0.47350780532598713, 'lotAreaUnit': 'acres'}}"
122,51967455,"8072 Powderbrook Ln, Springfield, VA 22153",3,4.0,2100,"$529,000",534669,-5669,"{'homeInfo': {'zpid': 51967455, 'streetAddress': '8072 Powderbrook Ln', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.736935, 'longitude': -77.21614, 'price': 529000.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2100.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 534669, 'rentZestimate': 2481, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 529000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 427010.0, 'lotAreaValue': 1672.0, 'lotAreaUnit': 'sqft'}}"
41,51943348,"7302 Bonniemill Ln, Springfield, VA 22150",4,4.0,2802,"$765,000",770400,-5400,"{'homeInfo': {'zpid': 51943348, 'streetAddress': '7302 Bonniemill Ln', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.759884, 'longitude': -77.19592, 'price': 765000.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2802.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 770400, 'rentZestimate': 3200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 765000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 578030.0, 'lotAreaValue': 0.2782139577594123, 'lotAreaUnit': 'acres'}}"
349,51936548,"6702 Ontario St, Springfield, VA 22152",5,3.0,2762,"$799,000",804300,-5300,"{'homeInfo': {'zpid': 51936548, 'streetAddress': '6702 Ontario St', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.767994, 'longitude': -77.22947, 'price': 799000.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2762.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 804300, 'rentZestimate': 3068, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 799000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 589880.0, 'lotAreaValue': 0.2796372819100092, 'lotAreaUnit': 'acres'}}"
61,51966577,"7932 Gambrill Ct, Springfield, VA 22153",2,4.0,1650,"$580,000",585005,-5005,"{'homeInfo': {'zpid': 51966577, 'streetAddress': '7932 Gambrill Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.742615, 'longitude': -77.23578, 'price': 580000.0, 'datePriceChanged': 1662447600000, 'bathrooms': 4.0, 'bedrooms': 2.0, 'livingArea': 1650.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 585005, 'rentZestimate': 2949, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-4pm', 'priceReduction': '$5,000 (Sep 6)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 580000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1662926400000, 'open_house_end': 1662937200000}]}, 'priceChange': -5000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 492940.0, 'lotAreaValue': 10197.0, 'lotAreaUnit': 'sqft'}}"
55,51936508,"6710 Rolling Rd, Springfield, VA 22152",4,3.0,2471,"$650,000",654500,-4500,"{'homeInfo': {'zpid': 51936508, 'streetAddress': '6710 Rolling Rd', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.769905, 'longitude': -77.23101, 'price': 650000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2471.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 654500, 'rentZestimate': 3099, 'listing_sub_type': {'is_comingSoon': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 650000.0, 'comingSoonOnMarketDate': 1662595200000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 527810.0, 'lotAreaValue': 10500.0, 'lotAreaUnit': 'sqft'}}"
54,51907433,"7906 Slidell Ln, Springfield, VA 22151",6,3.0,1534,"$749,000",753000,-4000,"{'homeInfo': {'zpid': 51907433, 'streetAddress': '7906 Slidell Ln', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.79966, 'longitude': -77.21824, 'price': 749000.0, 'datePriceChanged': 1661842800000, 'bathrooms': 3.0, 'bedrooms': 6.0, 'livingArea': 1534.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 753000, 'rentZestimate': 3200, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$11,000 (Aug 30)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 749000.0, 'priceChange': -11000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 599590.0, 'lotAreaValue': 0.2595270890725436, 'lotAreaUnit': 'acres'}}"
98,51899650,"8937 Victoria Rd, Springfield, VA 22151",5,3.0,2636,"$749,000",752700,-3700,"{'homeInfo': {'zpid': 51899650, 'streetAddress': '8937 Victoria Rd', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.804626, 'longitude': -77.25087, 'price': 749000.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2636.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 752700, 'rentZestimate': 3010, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 749000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 602810.0, 'lotAreaValue': 0.25633608815426995, 'lotAreaUnit': 'acres'}}"
59,51939355,"8610 Woodview Dr, Springfield, VA 22153",4,3.0,2242,"$723,000",725004,-2004,"{'homeInfo': {'zpid': 51939355, 'streetAddress': '8610 Woodview Dr', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.75719, 'longitude': -77.24075, 'price': 723000.0, 'datePriceChanged': 1662274800000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2242.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 725004, 'rentZestimate': 3099, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$2,000 (Sep 4)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 723000.0, 'priceChange': -2000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 631160.0, 'lotAreaValue': 9372.0, 'lotAreaUnit': 'sqft'}}"
356,51910739,"5515 Glenallen St, Springfield, VA 22151",3,2.0,1396,"$550,000",551602,-1602,"{'homeInfo': {'zpid': 51910739, 'streetAddress': '5515 Glenallen St', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.800755, 'longitude': -77.199486, 'price': 550000.0, 'datePriceChanged': 1658732400000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1396.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 551602, 'rentZestimate': 2544, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$49,000 (Jul 25)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 550000.0, 'priceChange': -49000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 424710.0, 'lotAreaValue': 0.27307162534435264, 'lotAreaUnit': 'acres'}}"
66,51904544,"6356 Shaundale Dr, Springfield, VA 22152",4,4.0,1777,"$525,000",526500,-1500,"{'homeInfo': {'zpid': 51904544, 'streetAddress': '6356 Shaundale Dr', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.778706, 'longitude': -77.25233, 'price': 525000.0, 'datePriceChanged': 1657263600000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 1777.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 526500, 'rentZestimate': 2584, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 525000.0, 'priceChange': 20000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 441040.0, 'lotAreaValue': 1601.0, 'lotAreaUnit': 'sqft'}}"
94,51913090,"7404 Floyd Ave, Springfield, VA 22150",4,3.0,1905,"$699,900",700978,-1078,"{'homeInfo': {'zpid': 51913090, 'streetAddress': '7404 Floyd Ave', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.787273, 'longitude': -77.19869, 'price': 699900.0, 'datePriceChanged': 1657782000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1905.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 700978, 'rentZestimate': 3069, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$50,100 (Jul 14)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 699900.0, 'priceChange': -50100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 468150.0, 'lotAreaValue': 0.2518595041322314, 'lotAreaUnit': 'acres'}}"
40,51965386,"7902 Cliff Rock Ct, Springfield, VA 22153",4,3.0,2434,"$630,000",631000,-1000,"{'homeInfo': {'zpid': 51965386, 'streetAddress': '7902 Cliff Rock Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.74278, 'longitude': -77.23941, 'price': 630000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2434.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 631000, 'rentZestimate': 3099, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 630000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 472670.0, 'lotAreaValue': 9040.0, 'lotAreaUnit': 'sqft'}}"
373,51941904,"6413 Julian St, Springfield, VA 22150",4,3.0,2118,"$610,000",610853,-853,"{'homeInfo': {'zpid': 51941904, 'streetAddress': '6413 Julian St', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.777176, 'longitude': -77.20025, 'price': 610000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2118.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 610853, 'rentZestimate': 2997, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 610000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 495200.0, 'lotAreaValue': 0.5690082644628099, 'lotAreaUnit': 'acres'}}"
