,id,address,beds,baths,area,price,zestimate,best_deal,hdpData
117,51967507,"8061 Tributary Ct, Springfield, VA 22153",3,4.0,2100,"$540,000",540500,-500,"{'homeInfo': {'zpid': 51967507, 'streetAddress': '8061 Tributary Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.73811, 'longitude': -77.21598, 'price': 540000.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2100.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 540500, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 540000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 441050.0, 'lotAreaValue': 2746.0, 'lotAreaUnit': 'sqft'}}"
53,51932171,"6649 Green Ash Dr, Springfield, VA 22152",3,4.0,1914,"$510,000",510399,-399,"{'homeInfo': {'zpid': 51932171, 'streetAddress': '6649 Green Ash Dr', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.770462, 'longitude': -77.25899, 'price': 510000.0, 'datePriceChanged': 1660719600000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1914.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 510399, 'rentZestimate': 2499, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$15,000 (Aug 17)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 510000.0, 'priceChange': -15000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 439220.0, 'lotAreaValue': 1700.0, 'lotAreaUnit': 'sqft'}}"
367,51914846,"6438 Franconia Ct, Springfield, VA 22150",3,4.0,1240,"$469,786",469902,-116,"{'homeInfo': {'zpid': 51914846, 'streetAddress': '6438 Franconia Ct', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.779587, 'longitude': -77.16765, 'price': 469786.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1240.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 469902, 'rentZestimate': 2499, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 469786.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 397100.0, 'lotAreaValue': 1400.0, 'lotAreaUnit': 'sqft'}}"
130,51941394,"8021 Orange Plank Rd, Springfield, VA 22153",3,4.0,1622,"$535,000",535059,-59,"{'homeInfo': {'zpid': 51941394, 'streetAddress': '8021 Orange Plank Rd', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.75184, 'longitude': -77.22263, 'price': 535000.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1622.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 535059, 'rentZestimate': 2499, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 535000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 405610.0, 'lotAreaValue': 1400.0, 'lotAreaUnit': 'sqft'}}"
124,51967572,"8034 Sleepy View Ln, Springfield, VA 22153",3,4.0,1584,"$525,000",525058,-58,"{'homeInfo': {'zpid': 51967572, 'streetAddress': '8034 Sleepy View Ln', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.739216, 'longitude': -77.21812, 'price': 525000.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1584.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 525058, 'rentZestimate': 2484, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 525000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 429250.0, 'lotAreaValue': 1650.0, 'lotAreaUnit': 'sqft'}}"
358,51967042,"7804 New London Dr, Springfield, VA 22153",4,4.0,3109,"$699,950",700006,-56,"{'homeInfo': {'zpid': 51967042, 'streetAddress': '7804 New London Dr', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.744728, 'longitude': -77.21996, 'price': 699950.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 3109.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 700006, 'rentZestimate': 3149, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 699950.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 606520.0, 'lotAreaValue': 0.2782139577594123, 'lotAreaUnit': 'acres'}}"
64,51968718,"8476 Magic Tree Ct, Springfield, VA 22153",3,3.0,1428,"$569,000",569053,-53,"{'homeInfo': {'zpid': 51968718, 'streetAddress': '8476 Magic Tree Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.72682, 'longitude': -77.23119, 'price': 569000.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1428.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 569053, 'rentZestimate': 2429, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 569000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 463520.0, 'lotAreaValue': 6333.0, 'lotAreaUnit': 'sqft'}}"
119,51942634,"6501 Hubbardton Way, Springfield, VA 22150",3,4.0,1900,"$635,000",635036,-36,"{'homeInfo': {'zpid': 51942634, 'streetAddress': '6501 Hubbardton Way', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.776497, 'longitude': -77.19977, 'price': 635000.0, 'datePriceChanged': 1660287600000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 1900.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 635036, 'rentZestimate': 2934, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,000 (Aug 12)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 635000.0, 'priceChange': -10000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 523760.0, 'lotAreaValue': 2600.0, 'lotAreaUnit': 'sqft'}}"
63,118442404,"5301 Woodland Estates Way, Springfield, VA 22151",6,6.0,9869,"$1,694,000",1694008,-8,"{'homeInfo': {'zpid': 118442404, 'streetAddress': '5301 Woodland Estates Way', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.807255, 'longitude': -77.18962, 'price': 1694000.0, 'bathrooms': 6.0, 'bedrooms': 6.0, 'livingArea': 9869.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1694008, 'rentZestimate': 5916, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1694000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 1216370.0, 'lotAreaValue': 0.4107897153351699, 'lotAreaUnit': 'acres'}}"
99,51938869,"7014 Galgate Dr, Springfield, VA 22152",6,5.0,4452,"$1,150,000",1150007,-7,"{'homeInfo': {'zpid': 51938869, 'streetAddress': '7014 Galgate Dr', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.763184, 'longitude': -77.240776, 'price': 1150000.0, 'bathrooms': 5.0, 'bedrooms': 6.0, 'livingArea': 4452.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1150007, 'rentZestimate': 3449, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1150000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 680040.0, 'lotAreaValue': 0.3138429752066116, 'lotAreaUnit': 'acres'}}"
62,51936420,"8513 Fairburn Dr, Springfield, VA 22152",6,3.0,2378,"$749,950",749956,-6,"{'homeInfo': {'zpid': 51936420, 'streetAddress': '8513 Fairburn Dr', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.764393, 'longitude': -77.240166, 'price': 749950.0, 'datePriceChanged': 1661756400000, 'bathrooms': 3.0, 'bedrooms': 6.0, 'livingArea': 2378.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 749956, 'rentZestimate': 3099, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-4pm', 'priceReduction': '$25,050 (Aug 29)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 749950.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1662926400000, 'open_house_end': 1662937200000}]}, 'priceChange': -25050, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 569780.0, 'lotAreaValue': 9740.0, 'lotAreaUnit': 'sqft'}}"
128,51942596,"6495 Milva Ln, Springfield, VA 22150",3,3.0,1643,"$585,000",585005,-5,"{'homeInfo': {'zpid': 51942596, 'streetAddress': '6495 Milva Ln', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.775986, 'longitude': -77.19869, 'price': 585000.0, 'datePriceChanged': 1661151600000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1643.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 585005, 'rentZestimate': 2699, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,000 (Aug 22)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 585000.0, 'priceChange': -10000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 508930.0, 'lotAreaValue': 1540.0, 'lotAreaUnit': 'sqft'}}"
97,51931746,"9104 Joyce Phillip Ct, Springfield, VA 22153",4,3.0,2303,"$749,999",750003,-4,"{'homeInfo': {'zpid': 51931746, 'streetAddress': '9104 Joyce Phillip Ct', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.7671, 'longitude': -77.257095, 'price': 749999.0, 'datePriceChanged': 1661238000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2303.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 750003, 'rentZestimate': 2999, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,001 (Aug 23)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 749999.0, 'priceChange': -10001, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 538050.0, 'lotAreaValue': 0.26056014692378326, 'lotAreaUnit': 'acres'}}"
115,51940864,"7391 Stream Way, Springfield, VA 22152",3,3.0,1480,"$549,900",549904,-4,"{'homeInfo': {'zpid': 51940864, 'streetAddress': '7391 Stream Way', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.758747, 'longitude': -77.22076, 'price': 549900.0, 'datePriceChanged': 1661065200000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1480.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 549904, 'rentZestimate': 2419, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$25,000 (Aug 21)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 549900.0, 'priceChange': -25000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 431870.0, 'lotAreaValue': 1400.0, 'lotAreaUnit': 'sqft'}}"
88,51907178,"5416 Nutting Dr, Springfield, VA 22151",5,5.0,3320,"$1,069,000",1069004,-4,"{'homeInfo': {'zpid': 51907178, 'streetAddress': '5416 Nutting Dr', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.802612, 'longitude': -77.2244, 'price': 1069000.0, 'datePriceChanged': 1661756400000, 'bathrooms': 5.0, 'bedrooms': 5.0, 'livingArea': 3320.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1069004, 'rentZestimate': 2799, 'listing_sub_type': {'is_newHome': True}, 'priceReduction': '$20,000 (Aug 29)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1069000.0, 'priceChange': -20000, 'newConstructionType': 'BUILDER_SPEC', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 562880.0, 'lotAreaValue': 0.25234159779614324, 'lotAreaUnit': 'acres'}}"
86,51936386,"6902 Gillings Rd, Springfield, VA 22152",5,3.0,1566,"$799,900",799904,-4,"{'homeInfo': {'zpid': 51936386, 'streetAddress': '6902 Gillings Rd', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.765385, 'longitude': -77.24013, 'price': 799900.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 1566.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 799904, 'rentZestimate': 2999, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 799900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 554990.0, 'lotAreaValue': 0.2792929292929293, 'lotAreaUnit': 'acres'}}"
118,51942628,"6514 Castine Ln, Springfield, VA 22150",3,4.0,2039,"$575,000",575004,-4,"{'homeInfo': {'zpid': 51942628, 'streetAddress': '6514 Castine Ln', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.77627, 'longitude': -77.19945, 'price': 575000.0, 'datePriceChanged': 1661929200000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2039.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 575004, 'rentZestimate': 2884, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$4,000 (Aug 31)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 575000.0, 'priceChange': -4000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 521750.0, 'lotAreaValue': 2100.0, 'lotAreaUnit': 'sqft'}}"
85,51942553,"7340 Westmore Dr, Springfield, VA 22150",3,4.0,2065,"$649,900",649904,-4,"{'homeInfo': {'zpid': 51942553, 'streetAddress': '7340 Westmore Dr', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.776447, 'longitude': -77.197655, 'price': 649900.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2065.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 649904, 'rentZestimate': 2657, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 649900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 504630.0, 'lotAreaValue': 2285.0, 'lotAreaUnit': 'sqft'}}"
57,65434446,"6999 Caton Woods Ct, Springfield, VA 22150",5,4.0,6432,"$1,088,888",1088892,-4,"{'homeInfo': {'zpid': 65434446, 'streetAddress': '6999 Caton Woods Ct', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.76631, 'longitude': -77.19212, 'price': 1088888.0, 'datePriceChanged': 1661842800000, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 6432.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1088892, 'rentZestimate': 4850, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,000 (Aug 30)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1088888.0, 'priceChange': -10000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 784890.0, 'lotAreaValue': 0.3763544536271809, 'lotAreaUnit': 'acres'}}"
68,51934549,"9011 Arley Dr, Springfield, VA 22153",4,2.0,2504,"$730,000",730004,-4,"{'homeInfo': {'zpid': 51934549, 'streetAddress': '9011 Arley Dr', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.75853, 'longitude': -77.25845, 'price': 730000.0, 'datePriceChanged': 1661238000000, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 2504.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 730004, 'rentZestimate': 3052, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$20,000 (Aug 23)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 730000.0, 'priceChange': -20000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 600740.0, 'lotAreaValue': 0.27017906336088154, 'lotAreaUnit': 'acres'}}"
46,51943680,"6714 Ruskin St, Springfield, VA 22150",4,3.0,1984,"$624,900",624904,-4,"{'homeInfo': {'zpid': 51943680, 'streetAddress': '6714 Ruskin St', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.761086, 'longitude': -77.17695, 'price': 624900.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1984.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 624904, 'rentZestimate': 2799, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 624900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 457510.0, 'lotAreaValue': 0.3305785123966942, 'lotAreaUnit': 'acres'}}"
67,51886122,"5223 Dalton Rd, Springfield, VA 22151",4,2.0,1920,"$675,000",675003,-3,"{'homeInfo': {'zpid': 51886122, 'streetAddress': '5223 Dalton Rd', 'zipcode': '22151', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.809086, 'longitude': -77.17724, 'price': 675000.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1920.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 675003, 'rentZestimate': 2999, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 675000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 516650.0, 'lotAreaValue': 0.256198347107438, 'lotAreaUnit': 'acres'}}"
357,51937307,"8103 Smithfield Ave, Springfield, VA 22152",4,3.0,2144,"$740,000",740003,-3,"{'homeInfo': {'zpid': 51937307, 'streetAddress': '8103 Smithfield Ave', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.7694, 'longitude': -77.22496, 'price': 740000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2144.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 740003, 'rentZestimate': 3099, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 740000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 567120.0, 'lotAreaValue': 0.25757575757575757, 'lotAreaUnit': 'acres'}}"
360,51906086,"5901 Kingsford Rd #439, Springfield, VA 22152",3,2.0,1270,"$355,000",355003,-3,"{'homeInfo': {'zpid': 51906086, 'streetAddress': '5901 Kingsford Rd #439', 'zipcode': '22152', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.792316, 'longitude': -77.23074, 'price': 355000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1270.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 355003, 'rentZestimate': 2250, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 355000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 280470.0, 'unit': '# 439'}}"
69,59789051,"7309 Sterling Grove Dr, Springfield, VA 22150",4,3.0,2240,"$675,000",675003,-3,"{'homeInfo': {'zpid': 59789051, 'streetAddress': '7309 Sterling Grove Dr', 'zipcode': '22150', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.759106, 'longitude': -77.19745, 'price': 675000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2240.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 675003, 'rentZestimate': 3200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 675000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 542360.0, 'lotAreaValue': 0.26056014692378326, 'lotAreaUnit': 'acres'}}"
72,51967628,"8102 Kenova Ln, Springfield, VA 22153",3,3.0,2084,"$510,000",510003,-3,"{'homeInfo': {'zpid': 51967628, 'streetAddress': '8102 Kenova Ln', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.738808, 'longitude': -77.21737, 'price': 510000.0, 'datePriceChanged': 1661410800000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2084.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 510003, 'rentZestimate': 2694, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$15,000 (Aug 25)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 510000.0, 'priceChange': -15000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 441540.0, 'lotAreaValue': 1760.0, 'lotAreaUnit': 'sqft'}}"
123,51940881,"7802 Cyril Pl, Springfield, VA 22153",5,3.0,2464,"$800,000",800003,-3,"{'homeInfo': {'zpid': 51940881, 'streetAddress': '7802 Cyril Pl', 'zipcode': '22153', 'city': 'Springfield', 'state': 'VA', 'latitude': 38.757263, 'longitude': -77.21464, 'price': 800000.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2464.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 800003, 'rentZestimate': 3399, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 800000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 629510.0, 'lotAreaValue': 10541.0, 'lotAreaUnit': 'sqft'}}"
